ID,Müşteri Talebi,Banka Yanıtı
642,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
643,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
644,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
645,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
646,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
647,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
648,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
649,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
650,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
651,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
652,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
653,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
654,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
655,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
656,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
657,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
658,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
659,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
660,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
661,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
662,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
663,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
664,Havale ücreti neden kesildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
665,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
666,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
667,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
668,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
669,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
670,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
671,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
672,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
673,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
674,Dijital bankacılık uygulamanızda bir hata alıyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
675,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
676,Kredi kartı limitimi nasıl artırırım?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
677,"Kredi kartım kayboldu, ne yapmalıyım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
678,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
679,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
680,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
681,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
682,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
683,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
684,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
685,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
686,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
687,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
688,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
689,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
690,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
691,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
692,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
693,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
694,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
695,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
696,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
697,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
698,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
699,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
700,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
701,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
702,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
703,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
704,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
705,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
706,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
707,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
708,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
709,"Kredi kartım kayboldu, ne yapmalıyım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
710,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
711,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
712,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
713,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
714,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
715,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
716,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
717,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
718,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
719,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
720,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
721,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
722,Hesap bakiyemi yanlış görüyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
723,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
724,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
725,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
726,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
727,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
728,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
729,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
730,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
731,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
732,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
733,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
734,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
735,Havale ücreti neden kesildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
736,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
737,Dijital bankacılık uygulamanızda bir hata alıyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
738,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
739,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
740,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
741,"Ödemem iki kez çekildi, nasıl iade alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
742,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
743,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
744,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
745,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
746,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
747,Kredi kartı limitimi nasıl artırırım?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
748,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
749,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
750,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
751,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
752,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
753,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
754,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
755,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
756,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
757,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
758,"ATM'de para sıkıştı, nasıl geri alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
759,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
760,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
761,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
762,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
763,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
764,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
765,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
766,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
767,"Kredi kartım kayboldu, ne yapmalıyım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
768,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
769,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
770,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
771,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
772,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
773,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
774,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
775,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
776,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
777,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
778,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
779,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
780,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
781,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
782,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
783,Havale ücreti neden kesildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
784,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
785,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
786,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
787,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
788,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
789,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
790,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
791,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
792,Kredi kartı limitimi nasıl artırırım?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
793,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
794,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
795,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
796,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
797,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
798,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
799,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
800,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
801,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
802,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
803,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
804,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
805,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
806,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
807,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
808,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
809,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
810,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
811,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
812,Kredi kartı limitimi nasıl artırırım?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
813,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
814,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
815,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
816,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
817,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
818,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
819,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
820,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
821,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
822,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
823,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
824,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
825,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
826,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
827,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
828,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
829,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
830,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
831,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
832,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
833,"ATM'de para sıkıştı, nasıl geri alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
834,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
835,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
836,Kredi başvurum neden reddedildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
837,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
838,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
839,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
840,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
841,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
842,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
843,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
844,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
845,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
846,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
847,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
848,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
849,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
850,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
851,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
852,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
853,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
